epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.242538439110294,0.267162937656045,0.90175,0.8944
2,0.1317707016964443,0.1808819756694138,0.9531,0.9322
3,0.07402141645939556,0.2981079587254673,0.974725,0.9072
