,precision,recall,f1-score,support
Negative,0.8943068002108593,0.9048,0.8995227995758219,3750.0
Positive,0.9036697247706422,0.8930666666666667,0.8983369098712447,3750.0
accuracy,0.8989333333333334,0.8989333333333334,0.8989333333333334,0.8989333333333334
macro avg,0.8989882624907508,0.8989333333333334,0.8989298547235334,7500.0
weighted avg,0.8989882624907508,0.8989333333333334,0.8989298547235334,7500.0
