,precision,recall,f1-score,support
Negative,0.8702057067020571,0.8742666666666666,0.8722314599268375,7500.0
Positive,0.8736771600803751,0.8696,0.8716338122285333,7500.0
accuracy,0.8719333333333333,0.8719333333333333,0.8719333333333333,0.8719333333333333
macro avg,0.8719414333912161,0.8719333333333333,0.8719326360776853,15000.0
weighted avg,0.8719414333912161,0.8719333333333333,0.8719326360776853,15000.0
